,Comment,Language,Sentiment
364,Mahilig siyang magmura sa klase.,tl,-1
365,"Hindi madaling magalit, ang haba ng pasensya.",tl,1
366,Kaibigan siya sa labas nang klase at proffesor sa loob nang klase.,tl,1
367,ginagamit ang nakaraan niya sa pag tuturo,tl,1
368,"Okay na sana eh, kaso ubod naman ng sungit.",tlen,-1
369,Walang paki kung anong oras dumating,tl,-1
370,minsan di na kami pumapasok dahil wala naman ginagawa sa klase nya at lagi naman siyang absent,tlen,-1
371,Walang siyang isang salita.,tl,-1
372,hindi ko alam kung alam ba niya talaga tinuturo niya or tinatamad lang.,tl,-1
373,mayabang pero matalino,tl,1
374,Willing siyang ulitin ang lesson na malabo sa estudyante.,tlen,1
375,Palagi siyang nagaalok nang tulong kapag ka nahihirapan na kami sa subject niya.,tlen,1
376,Araw araw may dalang kape,tl,0
377,Palaging presentable at maayos sa sarili,tlen,1
378,Nakakapukaw si Sir ng atensyon ng estudyante.,tlen,1
379,Galit sa babae.,tl,-1
380,Mahina ang boses. Walang gamit ang tinuturo sa trabaho,tl,-1
381,Maganda ang kanyang sulat.,tl,1
382,"Laging maaga sa klase, kahangahanga ang galing niya sa pagtuturo. ",tl,1
383,Wala siyang pakialam kung naiintindihan ba naming yung tinuturo niya.,tl,-1
384,Magaling mag turo and keeps inspiring us,tlen,1
385,Palagi niyang nakakalimutan kolectahin yung assignment.,tlen,-1
386,Absent pa more,tlen,-1
387,Sabay sa trip ng mga estudyante,tlen,1
388,Laging absent kaya sa huli student nagsusuffer kasi dami kailangan habulin,tlen,-1
389,Di lumalabas yung mga tinuturo niya sa quiz. Nakakaantok klase niya.,tlen,-1
390,"She always smile, kaya nakakagood vibes.",tlen,1
391,"Hindi detailed mag-turo, out of nowhere biglang may lumalabas na kung anong line sa free-body diagram namin.",tlen,-1
392,Strict sa mga due date ng mga requirements. Expects high performance from his students,tlen,-1
393,"Try to be more approachable, hirap kasi na siya lang yung nagsasalita, we were not able to give our questions",tlen,-1
394,Pa-major ang class niya. Maraming projects,tlen,-1
395,Bastos no respect to women bastos magsalita na may sexual innuendos kapag kausap babae. Kadiri,tlen,-1
396,Very strict sa rules hindi naman nakakaffect sa performance ng students pero big deal pa rin sa kanya.,tlen,-1
397,Mapapaisip ka talaga sa subject niya,tlen,1
398,on time at magaling magpaliwanag,tlen,1
399,Single sided lang siya magturo.,tlen,-1
400,Nagpapanotes pero di lumalabas ang notes sa quizzes.,tlen,-1
401,Hindi niya alam ang lesson nya.,tlen,-1
402,"Kaya double purporse na, natututo ka na, mataas pa nakukuha mong grades. :)",tlen,1
403,"Close pag nasa classroom, pag wala na di na naming maapproach.",tlen,-1
404,Maraming trivias na alam sa tinuturo niya,tlen,1
405,Maraming requirements na hinihingi kada linggo.,tlen,-1
406,"Inconsistent, iba iba magulo",tlen,-1
407,"Parang sleeping pills sa effects, nakakaantok.",tlen,-1
408,Magaling siya na prof at pinapadali yung lessons,tlen,1
409,Unfair magbigay ng grades,tlen,-1
410,"ang gulo ng train of thought niya, nawawala kami",tlen,-1
411,Malawak ang kaalaman sa subject.,tlen,1
412,nakakalimutan niya lagi na nasabi na nya yung joke nya last meeting.,tlen,0
413,mabait pero mahigpit sa requirements at schedule,tlen,1
414,Isa lang na estudyante ang tinatawag pag recitation.,tlen,-1
415,Entertaining magturo. Mataas magbigay ng grade. Fatherly figure.,tlen,1
416,Ang damot niya sa grades.,tlen,-1
417,Sinisisi niya yung klase namin sa pagka badmood niya.,tlen,-1
418,May doctorate degree,tlen,1
419,Madali magbigay ng quiz. Maraming examples na binibigay. May project na nagpapahatak ng grade.,tlen,1
420,Hindi marunong sa technology. Nagalit kasi hindi nagpoproduce ng sound yung projector.,tlen,-1
421,Hindi siya nagchecheck nang attendance.,tlen,-1
422,Fair sa lahat ng students,tlen,1
423,maganda at handa ang lessons at makabuluhan,tlen,1
424,Di kinaklaro yung directions,tlen,-1
425,Ang bilis ng oras kasi masaya magturo si sir,tlen,1
426,Hindi nagbibigay ng make-up quiz kahit valid naman yung reason ng absence,tlen,-1
427,May mga pili lang siyang tinatawag sa recitation.,tlen,-1
428,"rineport niya once section namin dahil di siya dumating before 15 minutes at pagdating niya wala ng buong klase, eh break na namin after nun.",tlen,-1
429,"Yung totoo, tres o singko lang ang alam na ibigay, anong klaseng prof, yan?",tlen,-1
430,Dinidiscuss nang maayos lessons kahit mahirap intindihin clear pa rin,tlen,1
431,Tulog lang nang tulog habang reporting,tlen,-1
432,Madali magpaquiz,tlen,1
433,Mabait at supportive sa mga students,tlen,1
434,"Hindi nakakatuwa mga jokes niya, pero pagnagturo, okay ang galing naman.",tlen,1
435,Puro presentation walang turo,tlen,-1
436,mahilig siya sa PRECISION,tlen,0
437,Binibigyan niya kami ng time after hours kapag nagtatanong kami and hindi ko nagets yung lesson.,tlen,1
438,Ang boring niya magturo.,tlen,-1
439,Mastered na niya yung tinuturo niya at hindi siya nagsasayang ng oras. Iniintindi rin niya ang mga students niya.,tlen,1
440,The best yung mga practical lessons.,tlen,1
441,May itsura yung professor.,tlen,1
442,stricto sa mga requirements pero handa siyang tumulong,tlen,1
443,"Kahit na boring yung subject, pinapaganda pa rin niya yung overall mood ng class by telling jokes or giving some âhugotsâ na funny.",tlen,1
444,Maayos magbigay ng quiz di lang puro memorize,tlen,1
445,"Sakit sa ulo, binabasa niya lang din yung sagot sa ppt.",tlen,-1
446,Bigla-biglang nagka-cancel ng quiz/exam.,tlen,-1
447,Always Absent (Walang naituro samin kahit 1 lesson sa upcoming prelims),tlen,-1
448,Hindi siya malapitan sa consulation period niya.,tlen,-1
449,"Gusto niya lahat on-time, alam niya yung tinuturo niya at laging nagbibigay ng real-life examples para mas madaling maintindihan.",tlen,1
450,Nagpapapresentation para maturo ng students mga dapat niyang ituro,tlen,-1
451,siya mabait at madaling kausap na prof,tlen,1
452,Nagpapatawa during lecture. Maraming binabahagi na katotohanang bagay tungkol sa paksa,tlen,1
453,Nakakahawa yung saya ni sir tuwing papasok siya ng classroom,tlen,1
454,"Naku! :( sobra akong nahihirapansa kanya, he is very challenging in a very positive way :)))))))) HAHAHAHAH!",tlen,-1
455,Nagtuturo naman kaso minsan nakakatamad pasukan all in all i commend him as a professor,tlen,1
456,babang mag-grade tas copy-paste lang naman yung ppt niya,tlen,-1
457,Passionate sa tinuturo. Ramdam mo talaga na gusto niya yung tinuturo niya hindi lang gusto ng pera,tlen,1
458,Nagbibigay si sir ng prizes pag mataas yung score mo sa quiz,tlen,1
459,Late magpaquiz,tlen,-1
460,Magaling makisama and at the same time maayos mag disiplina kaya lahat nakikinig sakanya,tlen,1
461,Very detailed in teaching. Medyo strict in submission specifications pero maganda ang output kapag siya ang prof,tlen,1
462,On-time pumasok. May malasakit sa mga estudyante niya.,tlen,1
463,Palagi siyang nagaalok nang tulong kapag ka nahihirapan na kami sa subject niya,tlen,1
464,Galit na galit kasi labas kami nang labas eh sobrang wala kaming ginagawa sa room ng 3 hours yak,tlen,-1
465,Strict na tao pero lahat ng sinasabi niya full of substance di lang kung ano ano,tlen,1
466,Binigyan ako ni maam ng special project para mahabol yung grade ko <3,tlen,1
467,Magaling siya magturo at malinaw ang kanyang mga delivery. SWABE LANG!,tlen,1
468,Palagi niyang sinisisi sa ibang professor yung pagkakamali niya,tlen,-1
469,"Magaling magturo, may malasakit sa students and very understanding, all in one.",tlen,1
470,Palagi niya kami minomotivate tuwing nahihirapan na kami sa mga subject naming.,tlen,1
471,Tinanggal na sa department namin,tlen,-1
472,Magaling magturo ng theories man or programming and kapag kailangan mo ng tulong niya pwede mo iapproach anytime.,tlen,1
473,Malalapitan kahit personal na problema,tlen,1
474,Nakakapagod yung klase niya. Maraming practical tests.,tlen,-1
475,Naging religion class instead na algorithm ang ituro.,tlen,-1
476,"Hindi katulad nang iba, nirerelate niya yung tinuturo niya sa major naming",tlen,1
477,Trinashtalk yung irregular na student. Bumaba respeto ko sa kanya.,tlen,-1
478,Minsan nakakaoffend na yung jokes mo sir,tlen,-1
479,she is a vampire and she is groot.,en,0
480,bilis niya magturo pero hindi naman nagets ng students.,tlen,-1
481,parang nagu-up and down lang yung jaws niya kapag nagsasaltia. Di ko sya maintindihan,tlen,-1
482,nagpapaquiz siya ng 5-1 items in 15 minutes at kasama pa sa 15 minutes na yung pagstate niya ng questions,tlen,-1
483,Pag nagdisscuss na siya parang sobrang bilis lang nang oras.,tlen,1
484,lagi siyang present sa klase at di kailanman nalate. Gusto ko siyang teacher at sana magtagal siya sa unibersidad,tlen,1
485,"Puro stories, pero connected naman.",tlen,1
486,Palagi niya iniisip yung load naming bago siya nagbibigay nang mga assignment.,tlen,1
487,"Legendary sa building, pangalan pa lang, makamandag na.",tlen,1
488,hindi fair sa grades and students,tlen,-1
489,Nagpapaproject na hindi naman related sa subject niya,tlen,-1
490,Maganda and mga gamit niyang visuals.,tlen,1
491,binabasa lang niya ang powerpoint,tlen,-1
492,Pinepersonal ang estudyante,tlen,-1
493,"Tatawa ka lang ng tatawa but at the same time, di mo napapansin na nanatututo ka na lang",tlen,1
494,Nagjojoke siya everyday para magising class kahit corny consistent.,tlen,1
495,Maraming inspirational quotes na habang tumatagal mas naiinspire kaming students,tlen,1
496,"She is liked barkada to us, kahit sa labas ng classroom nagtuturo",tlen,1
497,"HIndi marunong magpaquiz si maam sa eleap, puro typo tapos mali mali yung checking",tlen,-1
498,Natutulog lang to pag nagrereport kayo,tlen,-1
499,May chix akong prof.,tlen,1
500,namimigay siya ng flat tops kahit na di naman seryoso ang klase namin sa PhilNits. :))))),tlen,1
501,Nanghuhula nang grade,tlen,-1
502,Tambay sa seven eleven,tlen,0
503,mahilig siya magparemovals,tlen,1
504,Sinisisi niya yung mga marker sa mga typo niya sa board.,tlen,-1
505,Walang flow yung tinuturo niya.,tlen,-1
506,Hindi madamot sa grade,tlen,1
507,"Yung mga lumalabas sa quiz niya, ang layo sa mga tinuro niya",tlen,-1
508,"Kahit na prelims or finals, kahit na alam niyang bawal kausapin ang mga students, ichecheer ka pa niya and will make your day brighter even though napaka dilim and napakahirap na ng subject mo.",tlen,1
509,Palagi siyang nang babati pag nasa labas nang classroom,tlen,1
510,"palagi siyang nagsastutter pero alam mong alam niya yung tinuturo niya, problem is, hindi niya maibaba sa level ng student yung way of teaching niya.",tlen,-1
511,Kung saan saan napupunta lesson pag siya nag eexplain.,tlen,-1
512,Palagi siyang late.,tlen,-1
513,"Ginagawa kaming kinder, puro games na lang lagi every meeting, wala naman kaming natututunan, ano na ma'am?",tlen,-1
514,Mahirap magbigay ng problem. High expectation sa students,tlen,-1
515,Sinisigurado niya na everyone can follow his lecture.,tlen,1
516,Mahirap magpaquiz,tlen,-1
517,Palagi niyang kinoconnect sa life yung lessons niya.,tlen,1
518,Buong finals period di pumasok. Walang nakakaintindi sa tinuturo niya,tlen,-1
519,"Alam ang tinuturo, hindi pretentious.",tlen,1
520,Friendly and approachable para maging motivated ang students,tlen,1
521,"Sobrang stressed na ko sa subject, napansin niya sabi wag daw kalimutan yung sarili, okay lang mapagod. Naiintindihan niya pinagdadanaan ng students",tlen,1
522,Laging delay sa schedule.,tlen,-1
523,di ko siya nakitang nakangiti demonyo ata e. Di pa kami pinapakain e apat na oras yung class namin,tlen,-1
524,Sobrang entertaining ginagawa lahat para matawa class,tlen,1
525,Madami siyang ways to present his lesson,tlen,1
526,"Ang hirap ng seatworks and assignments, kaya pag dating sa quiz, madalina! Ang galing",tlen,1
527,Ang hinhin niya! Super! Hina pa ng boses.,tlen,-1
528,Sasabihin niya may assignment kahit wala naman siyang binigay.,tlen,-1
529,May consideration sa mga students niya na may itsura,tlen,-1
530,Parating ginagamit ang cellphone,tlen,-1
531,Alam niya yung pangangailangan naming sa subject niya.,tlen,1
532,Halatang halata na forte niya yung tinuturo niya.,tlen,1
533,"Taeng tae na ko pero ayaw ako palabasin kasi exams raw. Di ako mandadaya maam, natatae lang talaga ko.",tlen,-1
534,Binababaaan niya yung vocabulary niya pagnagtuturo kaya mas mabilis namin siyang naiinitindihan.,tlen,1
535,Masungit magturo. Di nagbibigay ng consideration sa mga estudyante niya. Di ginagamit yung mga powerpoint na binibigay,tlen,-1
536,Nanghuhula ng grade si maam,tlen,-1
537,Merong baklang prof na namemersonal.,tlen,-1
538,Consistent magturo based sa book. Good teaching style,tlen,1
539,"Ayaw na ayaw n'yang tinatama siya, example, kapag mali yung check niya sa quiz, nagagalit",tlen,-1
540,Puro reporting hindi nagtuturo. Kami na nagtuturo sumusweldo lang siya,tlen,-1
541,laging absent yay,tlen,-1
542,Mahilig magjoke sa gitna ng lecture. Marunong makisama sa students,tlen,1
543,Maraming life lessons na matututunan sa class niya.,tlen,1
544,marunong siya magturo pero ginagawang compulsory ang recitation,tlen,-1
545,Hindi siya nagrerespond sa kahit isang email namin.,tlen,-1
546,"In two hours, pinagkakasiya niya yung maraming lesson, ang powerpoint slides niya ay minimum na ang 5-1 ",tlen,-1
547,Maraming visual guides. Gives additional points to students reciting.,tlen,1
548,Bumili ng coke sa Gate One,tlen,0
549,Minsan nasosobrahan siya sa kwento kaya ang tagal bago naming matapos ang isang chapter.,tlen,-1
550,Hindi siya namimigay nang points sa mga kinaiinisan niya estudyante.,tlen,-1
551,"Teaching is his passion, galing!",tlen,1
552,Maraming examples na tinuturo. Nagbibigay ng equal chances sa recitation.,tlen,1
553,Hindi mawawala yung topic na good virtues pag ka nagtuturo siya.,tlen,1
554,"Maayos magpaquiz, lahat ng quiz niya tinuro or sinabi na need aralin.",tlen,1
555,bigtime si sir,tlen,0
556,"matalinong guro, pwedeng kaibigan, madaling lapitan and ang favorite line niya is ""ipagpepray kita anak"", ""kelangan competitive tayo guys"" and ""singko ka na anak"".",tlen,1
557,Sobrang naeengage kami pag siya nagtuturo,tlen,1
558,Nagustuhan ko yung subject na ito dahil sa kanya.,tlen,1
559,"May pagka manyak, may sexual innuendos pag nagdidiscuss",tlen,-1
560,"Ang galing niya, ang daming assignments and seatworks kaya nagegets din namin",tlen,1
561,organized lahat ng lectures niya and he sees to it na nasusunod ang schedule na pinost niya for every lecture/quiz/sw/hw.,tlen,1
562,madaling kausap na prof,tlen,1
563,Maraming incentives na related rin naman sa course namin.,tlen,1
564,Feeling matalino. Di nakikinig sa suggestions ng mga students niya.,tlen,-1
565,Memorization lang pero yung subject networking.,tlen,-1
566,Mataas magbigay ng grade sa students,tlen,1
567,Kaibigan siya sa labas nang klase at professor sa loob nang klase.,tlen,1
568,Mahirap siya magpatest pero natuturo niya nang maigi kaya parang dumadali yung tests.,tlen,1
569,Nagbibigay siya nang make-up test kahit walang valid reason ang pagka absent nang estudyante.,tlen,1
570,"Walang sinabi sinabi si David Blaine, Harry Potter, at Dumbledore sa prof.na tom ang galing magmagic ng grades.",tlen,-1
571,Support evidences on each opinion stated is a must lalo na sa akin at nag iincrease ng tiwala,tlen,1
572,I don't know whats her problem with us. Super sungit at namemersonal.,tlen,-1
573,magaling naman siyang magturo and madaling lapitan kaso mahirap makipagsched sa kanya ng meeting for Thesis kasi palaging busy.,tlen,-1
574,"Magaling siya magturo. Pinagbibigyan ang mga estudyante niya magturo. Kahit nagkakamali, pag may nagcorrect, tinatanggap niya.",tlen,1
575,Pinapaenjoy niya yung mga subject sa students niya. Diverse sa pagturo,tlen,1
576,"ito yung klase ng prof na mahilig sa babae, mas pinapaboran niya nga estudyante niyang babae lalo na kung maganda, sure pass",tlen,-1
577,Laging nakastarbucks,tlen,0
578,Manyak siya and doesn't follow schedules,tlen,-1
579,Napakaganda nya at di kumukupas. WAlang araw na di siya nagturo at higit pa doon di siya nagpapaquiz ng mahirap at laging sure pass,tlen,1
580,"Mentor din siya at the same time, hindi lang basta teacher",tlen,1
581,boring magturo,tlen,-1
582,Masaya at magaling magturo. Yung tipong makukuha mo talaga yung lesson kasi ituturo niya yung mga possible examples na pwedeng mag pop up.,tlen,1
583,Parang hindi niya forte yung tinuturo. Hindi magaling sa subject pero sabi ng iba magaling siya sa cisco.,tlen,-1
584,"Kahit na hindi ka na niya student ngayon, concern pa rin siya sa status mo as a students kung regular ka pa rin ba or may mga failing grades.",tlen,1
585,"she gives you a guide para sa defense, then on the defense day she makes you laglag in forn of other profs.",tlen,-1
586,Hindi niya kami ineentertain sa labas nang klase.,tlen,-1
587,He let his students appreciate the subject he teaches. Di nambabagsak ng student,tlen,1
588,May prof din ako na super nakakaconnect saming students,tlen,1
589,Maraming kwento about life na nirerelate sa lessons. Very interesting lessons.,tlen,1
590,"Sinabi din niya ang makanyang limitasyon, kaya, nagkakaintindihan ang student at ang professors.",tlen,1
591,Superman siya ang dami niya tinuturuan but she manages to know us all.,tlen,1
592,Nagdala si sir ng sobrang daming sardinas sa klase,tlen,0
593,"Does not grade fairly, puro tres or singko lang.",tlen,-1
594,Strict na nga wala pang substance. Wag ka na magturo sir,tlen,-1
595,"Madalas man siyang late, pero pero ang galing naman niya magturo, sobra!",tlen,1
596,Accurate and definite magturo. Hindi kung ano ano lang,tlen,1
597,finollow back ako sa twitter,tlen,0
598,Wala siyang pakialam kung may nagchecheating na sa amin.,tlen,-1
599,Hands-on sa estudyante,tlen,1
600,"Lagi mang late, naiintindihan naman naming yung tinuturo niya.",tlen,1
601,Pwede kumain sa class,tlen,1
602,may sense of fashion na mahilig sa fitted shirt at jeans.,tlen,1
603,Very visual magturo and explain things through application,tlen,1
604,May prof na ggss (gandang ganda sa sarili),tlen,-1
605,"Kahit madalas late, pinakita niya pa rin ang ganda ng history ng pilipinas. Mahusay talaga",tlen,1
606,Lagi ko siyang nakikita naglalakad sa Main Building,tlen,0
607,puro basa sa ppt,tlen,-1
608,Puro kwento at joke kaya nauubos yung time na para sana sa discussion,tlen,-1
609,Mahusay bilang guro at makakarelate ka sa mga sinasabe nya,tlen,1
610,Magaling sana siya magturo kaso palaging absent.,tlen,-1
611,Di nag papaattendance,tlen,-1
612,Walang sense puro storya na walang meaning kahit hindi related sa lessons.,tlen,-1
613,Nagpapaexam ng hindi tinuturo,tlen,-1
614,Ginagawa kaming bata nito ni sir,tlen,-1
615,Conducts a survey kada buwan,tlen,0
616,Concerned talaga siya sa students niya,tlen,1
617,Sa amin niya pinagagawa yung checking nang test papers.,tlen,-1
618,Kulang parati sa oras yung klase. Maarte sa format.,tlen,-1
619,Open to ideas not the same with him. Great lessons kahit minor masarap pa rin pasukan,tlen,1
620,Paborito ko to at masaya mag turo si Ma'am,tlen,1
621,"Para na siyang kapamilya sa amin, he never let us down",tlen,1
622,Maarte magturo. Perfectionist.,tlen,-1
623,Nagjojoke siya para hindi antukin yung buong klase during discussion.,tlen,1
624,"magaling magturo, namamahiya man minsan or palagi, hindi niya pinapabayaan ang estudyante niya na walang alam after ng lecture.",tlen,1
625,Hindi fair mag grade.,tlen,-1
626,"paraan ng pagtuturo niya yung papasagutin ka lang ng activity sa book mula sa first minute hanggang last minute ng klase, every meeting at habang nagsasagot kayo makikita niyo pa siyang natutulog sa table.",tlen,-1
627,Nagbibigay ng reviewer and pointers sa students,tlen,1
628,"siya si robocop, palagi siya may lapel",tlen,0
629,Kahit anong tanong kaya niya sagutin basta tungkol sa lesson,tlen,1
630,"Hindi tulad nang iba, hindi niya inexplain yung mga computation nang grades naming.",tlen,-1
631,Hindi binabasa yung pinapasa namin na essays,tlen,-1
632,"Hanep sa galing! Di na niya kailangan ng book, memorize at alam na alam ang tinuturo.",tlen,1
633,lagi nakangiti at laging naagawan ng projector at whiteboard marker,tlen,1
634,"Walang kabuhay-buhay magturo, parang binabasa lang yung binigay na hand-outs. ",tlen,-1
635,Sobrasobra ang scope nang test niya kaysa sa tinuturo niya.,tlen,-1
636,Hindi naman nya nagagamit yung mga notes na binibigay nya. Di rin kasi nagtuturo kahit madami pa kaming tanong. Napakabobo rin minsan.,tlen,-1
637,Deserve niya ang best prof award,tlen,1
638,Wala siyang pake sa student,tlen,-1
639,"mabait siya as a person pero hindi ganun kagaling magturo, pwede na kumbaga, favorite line nita is ""is it not?""",tlen,-1
640,Magaling magturo at laging prepared sa discussion.,tlen,1
641,Naguupload ng powerpoints para makatulong sa review ng mga estudyante niya,tlen,1
642,"Laging on time kung pumasok, never been absent, never been late",tlen,1
643,Hindi masyadong natuturo yung lumalabas sa test,tlen,-1
644,"Good relationship with students, tropa tropa, teaches and guides well",tlen,1
645,Mahirap magbigay ng proyekto. Nagpapahiya ng mga estudyante.,tlen,-1
646,Puro application walang namang tinuturo. Panay self-study,tlen,-1
647,"Tatawa lang kayo ng tatawa hanggang sa maubos ang time, wala naman kayong natututunan. :(",tlen,-1
648,nakalimutan niya lagi na nasabi na nya yung joke nya last meeting.,tlen,-1
649,"Magaling magturo, patas mag grade",tlen,1
650,Nagtuturo ng iba't ibang technique at forms. Pinapatawa ang mga estudyante niya.,tlen,1
651,Hindi siya nagbibigay nang quiz pagalam niya na hindi pa naming naiintindihan yung lesson.,tlen,1
652,hindi natatakot mambagsak ng buong class,tlen,-1
653,Hindi nakikinig sa suggestion ng student,tlen,-1
654,tinuturo niya sa estudyante ang lessons na pang 3 meetings in 1 meeting.,tlen,-1
655,MAgaling mag turo at alam mong may pinagaralan dahil di siya gumagamit ng slides. Madalas rin siyang magpaquiz ng mahirap pero kaya naman,tlen,1
656,puro fun activities and games,tlen,1
657,"unbelievable mga stories niya, medyo out of this world.",tlen,-1
658,Hirap magpaquiz pero di naman nagtuturo,tlen,-1
659,Dont know kung ano isasagot ko kasi wala naman akong alam sa klase even though im listening,tlen,-1
660,Malimit siyang magtanong kaya bagsak ang marami sa amin sa recitation.,tlen,-1
661,"tas in our first quiz, multiple choice kaso wala projector kaya ginawang identification ",tlen,-1
662,Lagi niya sineset ang mood sa classroom ambiance,tlen,1
663,Malabo magbigay ng mga requirements,tlen,-1
664,Kahit religion subject she is still open to ideas even if it is not the traditional catholic beliefs.,tlen,1
