Comment,Language,Sentiment
CURVES GRADES hehehehe,en,1
masters the lesson perfectly.,en,1
She is very terror but she teaches very well!,en,1
"Unenthusiastic, can barely understand what is being taught",en,-1
not applicable,en,0
Has favoritism among her students,en,-1
Very boring and monotonous voice.,en,-1
Best Teacher i ever have and really enjoyed her classes,en,1
"she tells you she explained everything clearly and precisely in the day of the defense when some professors ask why there are missing information on your papers, but actually she didn't really explain that much.",en,-1
Always interact with students during lectures,en,1
"Did not absent or missed a class taught the class with passion. We cried when the class ended. That's my ideal professor, passionate in what he does.",en,1
"Uses time wisely, no time wasted.",en,1
"Learn to listen to your students, the have their voice too.",en,-1
Theoretical concepts can be applied to the activities.,en,1
Always late.,en,-1
Uses boring and tiring methods,en,-1
Very professional inside the classroom but is a friend outside.,en,1
Doesn't tell the students that there is no class beforehand,en,-1
Creative when giving projects,en,1
"Did my best, submitted all requirements, passed all the exams, did not absent in her class. But it was not enough because I missed a seatwork.",en,-1
He wrote the book we use in class. He explains the lessons in detail,en,1
She is good in teaching but she lacks personal skills.,en,-1
he teaches wholeheartedly.,en,1
Teaches solid concepts,en,1
Treats students as own children,en,1
Instructions unclear,en,-1
Is able to fully deepen our understanding about the subject,en,1
Fair in grading system and makes sure that she grades us all fairly,en,1
"The slides are long, it is like sleeping pills.",en,-1
Knows how to respect and understand the struggles of being a student,en,1
The instructions are always complete,en,1
has her cane always by her side,en,0
"Actually teaches the students. Fair in grading. Has harmonic relationship with students. Can joke around with students. Makes the class interactive, doesn't focus on just discussing the lesson.",en,1
"It's like wasting 3 hours everyday of your life when you are in his class. Not good, boring and horrible professor",en,-1
"he is extremely brilliant and humble, but doesn't know how to express his intelligence through teaching.",en,-1
"teaches well, provides insight (aside from repeating whats on the powerpoint or reading only), treats the students well, approachable and fair",en,1
he is detached and challenging,en,-1
Focuses too much on the slides given,en,-1
Committed to his job,en,1
"She is like an energy body, she ran out of positivity.",en,-1
Neither of us will pass given that he has a personal hate on us,en,-1
Doesn't care whether the students understand the lesson but continues to teach in a poor manner.,en,-1
Engaging us on different activities which is good,en,1
Incapable,en,-1
Wears stripes every wednesday,en,0
"To be blunt, he's the most useless human being in the planet. We could have studied the lessons ourselves. No need for him",en,-1
His voice is loud and clear.,en,1
He doesn't pay attention as much as other professors,en,-1
"He inspires us how to learn, not how to get high grades.",en,1
he has a missing finger,en,0
"His examples are not appropriate, some gets offended.",en,-1
Properly teaching us the lesson and is nice. Doing what she needs to do and what she must do,en,1
Teaches different techniques,en,1
"he is like the books, he knows everything",en,1
Confident and well-spoken,en,1
Doesn't have good lectures and mostly reads from the ppt,en,-1
Doesn't give her students ample time to review for a quiz,en,-1
Pushes the students to learn and love the subject,en,1
"Approachable, detail oriented, teaches well and not boring during class, engaging, informative when teaching",en,1
"she may be late sometimes, but she copes with it immediately and still, the students can be able to learn new things.",en,1
Uses book as reference,en,1
"I hate him, he keeps on telling us we already know it, in fact, the lessons are alien to us!",en,-1
"He almost always was frowning, he started early and dismissed late, targeted the students' insecurities more than objectively critiqueing student's work",en,-1
Gives a lot homework,en,-1
When they don't have mastery over what they teach and do not respond to genuine questions from the students because the activity they're making students do wasn't taught yet.,en,-1
Grading system is Trash and unfair for other students,en,-1
No Further Comment,en,0
Does not explain the lesson very well,en,-1
Good professor inside and outside of the school. Professional at the same time approachable.,en,1
"Please make it simple, the lessons are so complicated, yet you make it harder.",en,-1
She lets us explore her subject because she does not spoonfed us.,en,1
Has a certain mastery of the subject and knows how and do's,en,1
"Does not dismiss us on time, other prof gets mad at us because of this.",en,-1
Teaches the lesson poorly and lacks the knowledge about the topic.,en,-1
Gives bonuses and additional points,en,1
"Speechless, she is really a superb teacher",en,1
She embarrass you in front of anybody,en,-1
He is not only a teacher but father for all of his students,en,1
Not Applicable,en,0
She is very moody.,en,-1
Uses references such as book and factual documents,en,1
He/She just reads the powerpoints,en,-1
She's just reading her powerpoint presentations and cannot answer her students' questions.,en,-1
the teacher is always absent,en,-1
She just reads the powerpoints lol,en,-1
Likes to play basketball,en,0
Favors students who only excel,en,-1
"teaching is not the same as sleeping so, teach!",en,-1
Charges her phone every session,en,0
anything under the sun,en,0
Unnecessary criticisms to other students. Does not help students perform better.,en,-1
Fully understands the topic and does his/her best to make sure that the students are learning,en,1
Brings down the class morale,en,-1
Fell down once from his chair lol,en,0
He's a terror. He has favoritism when it comes to students.,en,-1
Forces students to interact during lectures,en,-1
She makes the student discuss the topics via presentations so she wont have to teach,en,-1
his exams are based on 5 percent taught material 95% out of the blue materials,en,-1
"he is organized, well-prepared, and confident during the lecture.",en,1
"He keeps on talking, oh come on, please hear us too.",en,-1
Makes the subject interesting.,en,1
No elaboration,en,0
Hard to talk to,en,-1
Terrible at teaching,en,-1
strict in a good way.,en,1
Requires materials but doesn't use in lectures,en,-1
He is passionate in teaching,en,1
Always late and unprepared.,en,-1
"Be professional, there are times for joking.",en,-1
Good credentials,en,1
"his favorite line is, ""competitive tayo, guys"".",tlen,1
don't know anything about the subject and is boring when it comes to student engagement,en,-1
observes the university rules properly.,en,1
Sure pass. Gives many exercises as possible and teaches us case by case,en,1
Does not have a mastery in his/her teaching,en,-1
Gives students time to answer exercises and provides the answer for us to review.,en,1
he gives what the students deserve when it comes to grading,en,1
Does not take student's personal opinion,en,-1
"Enthusiastic when teaching, speaks and teaches clearly, is very forgiving",en,1
Promotes competition and teaches various logical methods,en,1
Lacks the knowledge about the topic.,en,-1
Can't understand what she says,en,-1
Worst teacher in the university and possibly in the world,en,-1
has good grooming and follows the university's norm.,en,1
Has mastery in what he/she is teaching,en,1
Give out handouts which is good and is knowledgeable,en,1
Sometimes i feel sleepy and sometimes i feel excited,en,0
Tries to improve herself each day,en,1
Announces quizzes 30 minutes before the quiz.,en,-1
puro freecut..... hehehe saktong freecut lang,tlen,-1
Interactive and very approachable,en,1
WAla na akong tiwala since his opinion is not supported by any claims or studies.,tlen,-1
Really knows how to handle pressure and time by being early as possible and dismisses class late as possible,en,1
He is knowledgeable at maraming visual aids at slides,tlen,1
Has curly hair,en,0
"Engaging the students, attentive with the students' questions, and makes sure that the students understand the lessons at hand.",en,1
"Please choose your jokes, some are not funny at all.",en,-1
He connects real life happenings to the lesson.,en,1
Concerned in his students' mental health,en,1
She teaches a religious subject yet has mannerisms like that of a street girl.,en,-1
Best professor ever. Teaches different cases on a lesson. Grades fairly to students. Makes an old and boring subject interesting.,en,1
Uses new techniques to engage the students,en,1
Has a lot of wisdom and experience,en,1
Always starts the class with a prayer,en,1
Dont know how to spell and read. What kind of teacher is she. Neither of the book nor the powerpoint presented were followed.,en,-1
Cares for the mental health of the students,en,1
He always sleeping in class,en,-1
She instills discipline in her students,en,1
The same Boring style as last year and disappointed today,en,-1
he accepts friend requests on facebook,en,0
He relates his subject into the real world,en,1
forcing us to do something that we aren't interested or enjoy,en,-1
"Confusing, unprofessional with the way they act, loses papers, leaves things to the last minute",en,-1
"Mahilig siya sa phrases na ""should there be"", ""play it by ear"" and sa word na ""cascade"" :))))",tlen,0
She always angry,en,-1
Wears shades when we have a quiz or a test,en,0
"Hard to understand, lots of jargons without explanation to what those are.",en,-1
She shares her experience to further explain or simplify our lessons.,en,1
Gives low grades,en,-1
Professional inside and outside the classroom,en,1
She/him is sharing knowledge for there student and good comminication on there student,en,1
Teaches lessons that can relate to life,en,1
Encourages students to do better and to improve,en,1
"He only calls the male students to recite, unfair.",en,-1
Responds to emails and questions of students,en,1
Don't know how to teach properly and always eating in the class as if we have no class. Little to none effort,en,-1
Doesn't understand concepts of their own subject.,en,-1
Has mastery on the lesson. She can teach the lesson without guides.,en,1
Inspires the students to perform better,en,1
Doesn't come to class regularly and doesn't teach us anything,en,-1
Does not entertain questions.,en,-1
Very considerate with his students.,en,1
Explains thoroughly,en,1
Sir adjusted the pace of his teaching when most of us couldn't catch up,en,1
He keeps the whole class entertained while learning at the same time,en,1
Not worth my tuition fee,en,-1
"Strict in very -1 way, he can suffocate the students.",en,-1
Has knowledge on what the real world is presently using. Practical thinker.,en,1
"He can make us laugh, and he also feeds our mind with cool stuffs.",en,1
Doesn't properly answer student's questions.,en,-1
The professor is chubby,en,0
Strict and makes a big fuss about every single detail.,en,-1
Great interaction/relationship with students,en,1
"not always present, doesn't teach the material well, unclear instructions/lessons",en,-1
She's very responsive whenever I have questions. And also resourceful because I gained a lot of information from her. She's very accommodating and really nice.,en,1
"he seldom comes to class with his infamous announced ""sickness"", yet is a challenging and respected programming professor.",en,-1
why you got to be so rude? Don't you know we are human too.,en,-1
"being energetic in the class can affect the students, thumbs up for that! ",en,1
Teaches us as if we're highschool students,en,0
Using assorted colors of markers in teaching,en,0
once amonth pumapasok,tlen,-1
good ppts and videos,en,1
has passion for teaching.,en,1
Over looking their student,en,-1
Good listener,en,1
She uses perfect timing and pronunciation when teaching,en,1
Doesn't give a high grade even if you deserve it,en,-1
She never leaves the student left out.,en,1
Taught me a lot about the Philippine Taxation System,en,1
"Rapport with the students is strong, dressed for himself, always went the extra mile to teach students lessons beyond the classroom, got the class interested enough in cultural studies to make them have actual conversations about culture and societal issues transcending classes",en,1
Biased,en,-1
Fair in grading students.,en,1
manyak,tl,-1
Marunong siya makisama sa klase,tl,1
nakakainis dahil parang masungit at nagagalit pa pag tinatanong namin about sa mga tinuturo nya na para bang bawal namin kwestyunin.,tlen,-1
"Ang galing niyo po mangbara, sana ganun din po pagtuturo.",tl,-1
Bobo mag turo at alam mong manyak. Makatingin palang parang may balak ng masama,tl,-1
Nakikinig siya sa opinyon namin.,tl,1
Madadali ang mga pagsusulit.,tl,1
Kumpleto siya magturo,tl,1
Sinisigurado niya ng naiintindihan ng lahat ang tinuturo niya.,tl,1
May manyak akong prof.,tlen,-1
Dumadating siya sa tamang oras.,tl,1
nakaupo lang sya madalas pagnagtuturo.,tl,-1
Nagagalit tuwing nagtatanong ang estudyante.,tl,-1
Iba't iba ang tinuturo sa mga estudyante. Walang kasiguraduhan sa tinuturo,tl,-1
Ang bilis bilis niya magturo palagi parang may hinahabol siya.,tl,-1
Masyadong mataas tingin niya sa sarili niya,tl,-1
Siya ay sobrang sungit.,tl,-1
MAtamlay at malungkot ang turo,tl,-1
"Mabait, magaling magturo.",tl,1
Sobrang tamad magturo,tl,-1
Natutulog lang siya sa klase.,tl,-1
Parang bata yung trato sa student,tlen,-1
Marunong siya makisama sa klase.,tl,1
Walang nakakagets ng joke niya,tlen,-1
"Akala mo kung sinong napakagaling magturo, eh sya lang rin naman nagagalingan sa sariling niya",tl,-1
Don't give exams na di pa natututuro yung mga lessons.,tlen,-1
Panget ang mga hinahandang lessons at hindi makabuluhan,tlen,-1
Isa lang ang tono nang boses niya kaya nakakaantok siya magturo.,tl,-1
Mainuuna pa niya iba niyang trabaho kay hindi siya nakakapasok sa klase namin.,tl,-1
Bihira siyang absent.,tlen,1
Hindi pwedeng walang bumagsak sa klase niya,tl,-1
Wala sa lugar magalit,tl,-1
"Matutong makibagay sa mga students, di lang sila ang dapat mag-adjust.",tlen,-1
Nawawala niya ang mga papel.,tl,-1
"Pag ngumuya ka lang galit na galit na, bawal na bawal kumain",tl,-1
Palautos siya masyado.,tl,-1
Mabilis magsalita at di nakakahabol mga students niya,tlen,-1
Nadapa siya pag pasok,tl,0
"Hindi katulad nang iba, nirerelate niya yung tinuturo niya sa major naming.",tlen,1
Okay lang sa kanyang hindi kami pumasok sa klase niya.,tl,-1
Mukhang estudyante,tl,0
Talagang matututo ka pag siya nagturo,tl,1
May topak pag magalit,tl,-1
Binababaaan niya yung vocabulary niya pagnagtuturo kaya mas mabilis namin siyang naiinitindihan,tlen,1
kwela siya,tl,1
Tinuring ko ng ama at pangalawang magulang dahil sobrang gaan ng loob ng mga estudyante sa kanya at masaya,tl,1
Nagalit sa amin at biglang umiyak nang walang dahilan ano na maam,tl,-1
Nautot ako ng malakas sa class niya and natawa lang siya. Cool prof,tlen,1
Hindi siya tumatanggap nang pagkakamali niya.,tl,-1
Tamad na tamad siya kung magturo.,tl,-1
Bumabait pag binigyan ng pagkain,tl,1
"Nakakaumay siya magturo, paulit-ulit.",tl,-1
Nakikinig siya sa opinyon namin,tl,1
Walang pakialam kahit hirap na hirap students,tlen,-1
Sobrang ganda niya,tl,1
Di maayos manamit,tl,-1
Nagtuturo ng hakbang-hakbang sagot sa mga katanungan,tl,1
Walang ginagamit na visuals. Mahirap magnotes sa klase niya,tlen,-1
Hindi siya nagtatanim nang galit sa amin kahit magulo ang klase namin.,tl,1
Hindi niya matanggap na nagkakamali siya,tl,-1
maayos at natatanggap ang mga critisismo at nagpapakabuti para sa kagaganda ng pagtuturo at ng buhay nya,tl,1
She is always absent and baduy ang mga damit,tlen,-1
Parang si steph curry pag nagtuturo swak na swak lagi sa kung anong hanap ko.,tl,1
Hindi niya iniisip kung nakakakopya ba kami nang notes basta buburahin na lang niya.,tlen,-1
Para kong kumakain ng panis na giniling kapag siya natuturo. Di ako natutuwa,tl,-1
Malakas ang boses ni Ma'am.,tlen,0
Merong matandang kalbo na kala mo magaling.,tl,-1
Laging walang pasok ng klase niya,tl,-1
Parang duda siya sa mga tinuturo niya.,tl,-1
nagbabagsak siya ng estudyante,tl,-1
Alam na alam niya yung tinuturo niya,tl,1
nakakatawa siya magsalita,tl,0
Maaasahan mo lang siya pag nasa loob nang klase.,tl,-1
Malabong magpaliwanag sa pagtuturo,tl,-1
Sobrang galing magturo,tl,1
Laging nagmamarunong at di tumatanggap ng pagkakamali. Di namin siya gusto makasama at maging guro,tl,-1
Wala siyang pake kung naiintindihan ba ng estudyante ang tinuturo niya.,tl,-1
"Puro kwento, wala namang kwenta!",tl,-1
Tinatama niya ang lahat ng maling nakikita.,tl,1
"Walang kinikilingan, walang pinoprotektahan, serbisyong totoo lamang.",tl,1
Nakakaaliw siya magturo.,tl,1
malakas boses,tl,0
Masaya lang kasama at malapit sa mga studyante kaya siguro maraming tumuturing sakanyang kuya ng bayan.,tl,1
lagi nakatambay sa dapitan,tl,0
walang tinuturo,tl,-1
Parang nandoon lang para kumita ng pera,tl,-1
Ang galing niya kunin yung atensyon ng buong klase,tl,1
Napakalupet sumama sa inuman at di sumuko.,tl,1
Palagi nalang mainit ulo,tl,-1
mahilig din magpamake-up class,tlen,1
Maarte,tl,-1
Ayaw magpaihi di ko alam bakit,tl,-1
Siya ay magulo magturo.,tl,-1
Kinikilala niya ang bawat estudyante niya.,tl,1
Di tinuturo yung ginagamit sa trabaho,tl,-1
Nagdadahilan siyang may sakit kahit na gagala lang siya.,tl,-1
Hindi ka na niya kilala pag nasa labas na kayo nang klase.,tl,-1
"Guro sa loob ng classroom, kaibigan sa labas. ",tlen,1
mahina boses,tl,-1
Hindi niya masyado gamay ang itinuturo niya.,tl,-1
Siya ay bobo at di alam ang mga sinusulat sa board. Minsan nga di na kami nakikinig kasi mali mali ang mga tinuturo,tlen,-1
She is always present and maganda manamit pumapasok,tlen,1
Masungit pag inistorbo.,tl,-1
Stricto siya pero mabait kung mabait,tl,1
Hindi siya nagtuturo.,tl,-1
Madaling maintindihan ang kanyang mga lessons.,tlen,1
Mabilis magturo. Mahirap magbigay ng quiz.,tlen,-1
Kaya niya controlin yung klase kahit sobrang gulo na naming.,tl,1
Hindi ko naiintindihan kung ano sinasabi niya,tl,-1
Magaling makisama sa estudyante,tl,1
Siya ay nakakaantok magturo.,tl,-1
Mabilis magturo.,tl,-1
nagpabili ng libro tapos hindi ginamit sayang pera,tl,-1
Hindi siya tumutupad sa usapan.,tl,-1
Hindi nanakakatuwa yung mga biro niya.,tl,-1
Hindi siya nagyayabang kahit ang dami na niyang nakamit sa buhay.,tl,1
Hindi siya garalgal magsalita.,tl,1
Lagi siyang late.,tlen,-1
Ang hina ng boses.,tl,-1
Siya ay madaling lapitan.,tl,1
Palagi niya kami minomotivate tuwing nahihirapan na kami sa mga subject naming,tlen,1
Hindi marunong mag turo at laging walang kwenta ang kanyang pinagsasabi,tl,-1
"Di lang maganda, magaling pa!",tl,1
Siya ay nakakaaliw mag turo.,tl,1
Nagagalit without reason lagi kaming sinisisi. Tantrums everyday pag class niya. A,tlen,-1
Walang pake sa opinyon ng estudyante,tl,-1
Di mo na alam kung anong aaralin or kung ano important sa sinabi niya.,tlen,-1
Has unique teaching style kumpara sa iba,tlen,1
Pag nagdisscuss na siya parang sobrang bilis lang nang oras,tl,1
Walang natutunan sa klase niya,tl,-1
Palagi niyang panararamdam na palagi siyang nandiyan pagka kailangan naming nang tulong,tl,1
Hindi nambabagsak <3,tl,1
Pinapakita niya samin na okay lang manggulang nang iba.,tlen,-1
Maayos siya sa gamit.,tl,1
Amoy yosi,tl,-1
Palagi niya iniisip yung load namin bago siya nagbibigay nang mga assignment.,tlen,1
Maraming presentations na nakakabawi ng grade,tlen,1
Mahilig siya mang parusa nang estudyante sa walang kadahilanan.,tl,-1
Mahirap magbigay ng mga tanong,tl,-1
Hindi niya alam na wala kaming naiintidhan sa mga tinuturo niya.,tl,-1
"Ang galing sana niya eh, masungit nga lang, kaya wala na kami gana makinig.",tl,-1
nakakaloka ang kanyang bangles,tlen,0
"Laging maaga sa klase, ganado magturo.",tl,1
Stricto siya pero mabait kung mabait.,tl,1
Boses niya ay klaro,tl,1
Walang pakialam basta makapagturo lang kahit hindi naiintindihan ng estudyante,tl,-1
nanganak na siya ngunit mukha pa rin siyang hindi pa nanganganak,tl,0
Hindi nagsasabi pag hindi siya makakapasok,tl,-1
hindi niya matanggap na mali siya,tl,-1
Lagi nalang galit kahit di naman dapat magalit,tl,-1
Nung first months nakakaintimidate siua pero din nagbago siya ng tuluyan.,tlen,1
Engaging,en,1
Ang hinahina nang boses niya.,tl,-1
Strikto magturo.,tl,-1
Kaibigan kung magturing sa estudyante,tl,1
Mabagal siya magexplain kaya mas lalo naming naiintidihan yung lecture.,tlen,1
nagmumura sa class,tl,-1
Sinisigurado niyang naiintindihan ng mga estudyante nya mga tinuturo niya.,tl,1
Alam niya yung pangangailangan namin sa subject niya.,tlen,1
Pinapaturo sa mga estudyante niya yung mga kailangan na dapat siya magturo.,tl,-1
Napapatahimik niya ang mga estudyante,tl,1
"he is inconsiderate, namamahiya pa :(",tlen,-1
Mahilig siyang magmura sa klase.,tl,-1
"Hindi madaling magalit, ang haba ng pasensya.",tl,1
Kaibigan siya sa labas nang klase at proffesor sa loob nang klase.,tl,1
ginagamit ang nakaraan niya sa pag tuturo,tl,1
"Okay na sana eh, kaso ubod naman ng sungit.",tlen,-1
Walang paki kung anong oras dumating,tl,-1
minsan di na kami pumapasok dahil wala naman ginagawa sa klase nya at lagi naman siyang absent,tlen,-1
Walang siyang isang salita.,tl,-1
hindi ko alam kung alam ba niya talaga tinuturo niya or tinatamad lang.,tl,-1
mayabang pero matalino,tl,1
Willing siyang ulitin ang lesson na malabo sa estudyante.,tlen,1
Palagi siyang nagaalok nang tulong kapag ka nahihirapan na kami sa subject niya.,tlen,1
Araw araw may dalang kape,tl,0
Palaging presentable at maayos sa sarili,tlen,1
Nakakapukaw si Sir ng atensyon ng estudyante.,tlen,1
Galit sa babae.,tl,-1
Mahina ang boses. Walang gamit ang tinuturo sa trabaho,tl,-1
Maganda ang kanyang sulat.,tl,1
"Laging maaga sa klase, kahangahanga ang galing niya sa pagtuturo. ",tl,1
Wala siyang pakialam kung naiintindihan ba naming yung tinuturo niya.,tl,-1
Magaling mag turo and keeps inspiring us,tlen,1
Palagi niyang nakakalimutan kolectahin yung assignment.,tlen,-1
Absent pa more,tlen,-1
Sabay sa trip ng mga estudyante,tlen,1
Laging absent kaya sa huli student nagsusuffer kasi dami kailangan habulin,tlen,-1
Di lumalabas yung mga tinuturo niya sa quiz. Nakakaantok klase niya.,tlen,-1
"She always smile, kaya nakakagood vibes.",tlen,1
"Hindi detailed mag-turo, out of nowhere biglang may lumalabas na kung anong line sa free-body diagram namin.",tlen,-1
Strict sa mga due date ng mga requirements. Expects high performance from his students,tlen,-1
"Try to be more approachable, hirap kasi na siya lang yung nagsasalita, we were not able to give our questions",tlen,-1
Pa-major ang class niya. Maraming projects,tlen,-1
Bastos no respect to women bastos magsalita na may sexual innuendos kapag kausap babae. Kadiri,tlen,-1
Very strict sa rules hindi naman nakakaffect sa performance ng students pero big deal pa rin sa kanya.,tlen,-1
Mapapaisip ka talaga sa subject niya,tlen,1
on time at magaling magpaliwanag,tlen,1
Single sided lang siya magturo.,tlen,-1
Nagpapanotes pero di lumalabas ang notes sa quizzes.,tlen,-1
Hindi niya alam ang lesson nya.,tlen,-1
